transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,1784278282.406678,1784278286.517675,1784278287.391204,1784278286.9544396,0.074597,-0.140976,-0.239467,0.004162,-0.006691,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2135988,1980841,0,0,0,0,1
1,sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,1784278295.4629388,1784278299.591862,1784278300.462958,1784278300.02741,0.080657,-0.146215,-0.248599,0.004134,-0.006724,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2175029,2049099,0,0,0,0,1
2,sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,1784278422.19278,1784278426.298794,1784278427.163692,1784278426.7312431,0.106007,-0.166359,-0.281626,0.003927,-0.006452,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2449755,2336613,0,0,0,0,1
3,sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,1784278435.273386,1784278439.4172769,1784278440.291884,1784278439.8545804,0.096989,-0.159666,-0.27059,0.003973,-0.006434,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2344065,2232871,0,0,0,0,1
4,formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,1784278536.215963,1784278540.339443,1784278541.216461,1784278540.777952,0.334888,0.268341,0.455,-0.000376,-0.001008,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3807804,3782821,0,0,0,0,1
5,formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,1784278549.355766,1784278553.495104,1784278554.3686469,1784278553.9318755,0.324367,0.2651,0.449901,-0.000112,-0.001134,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3771219,3776131,0,0,0,0,1
6,formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,1784278624.390986,1784278628.534064,1784278629.4000928,1784278628.9670784,1.001419,-0.305451,-0.518223,0.001605,-0.001077,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4353530,4319063,0,0,0,0,1
7,formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,1784278637.550122,1784278641.6775491,1784278642.545134,1784278642.1113415,0.989464,-0.306554,-0.520278,0.001645,-0.001132,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4279598,4359289,0,0,0,0,1
8,formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,1784278669.349876,1784278673.493716,1784278674.3717592,1784278673.9327376,0.150071,-0.195391,-0.330369,0.003319,-0.004947,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2807475,2758103,0,0,0,0,1
9,formal,down,78,4,1,9,5.775795667127873,5.906349143328972,1784278682.501769,1784278686.580598,1784278687.465162,1784278687.02288,0.141045,-0.189951,-0.321655,0.003336,-0.005012,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2744722,2679936,0,0,0,0,1
10,formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,1784278800.5076869,1784278804.645644,1784278805.518311,1784278805.0819774,0.019317,-0.076035,-0.129249,0.00308,-0.005407,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1165723,1094332,0,0,0,0,1
11,formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,1784278813.652046,1784278817.7777238,1784278818.652684,1784278818.2152038,0.023818,-0.083713,-0.14241,0.003043,-0.005382,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1283524,1197989,0,0,0,0,1
12,formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,1784278872.67156,1784278876.8032498,1784278877.679455,1784278877.2413526,1.2,0.218778,0.372378,-0.004238,0.006658,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3071954,3248528,0,0,0,0,1
13,formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,1784278885.814663,1784278889.955001,1784278890.819388,1784278890.3871946,1.2,0.216121,0.368556,-0.004259,0.006632,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3073817,3159437,0,0,0,0,1
14,formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,1784278906.0906491,1784278910.2369,1784278911.1127858,1784278910.6748428,1.2,0.084456,0.144101,-0.003958,0.006576,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1259557,1361013,0,0,0,0,1
15,formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,1784278919.238969,1784278923.371855,1784278924.257932,1784278923.8148935,1.2,0.08191,0.14017,-0.00389,0.006586,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1195703,1376172,0,0,0,0,1
16,formal,up,48,8,0,16,1.859191381094913,1.728637904893814,1784278935.238303,1784278939.371616,1784278940.238324,1784278939.8049698,1.2,-0.041923,-0.071405,-0.002844,0.005624,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-567999,827482,0,0,0,0,1
17,formal,down,48,8,1,17,1.859191381094913,1.989744857296012,1784278948.3796961,1784278952.52035,1784278953.394649,1784278952.9574995,1.2,-0.044863,-0.076792,-0.002808,0.005574,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-683174,841370,0,0,0,0,1
18,formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,1784278980.226316,1784278984.358558,1784278985.2412648,1784278984.7999115,1.097221,0.286384,0.486814,-0.002324,0.003156,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4011901,4067117,0,0,0,0,1
19,formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,1784278993.388821,1784278997.510933,1784278998.385737,1784278997.948335,1.091112,0.28751,0.489234,-0.002309,0.003096,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4080244,4154345,0,0,0,0,1
20,formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,1784279036.713387,1784279040.830528,1784279041.7031329,1784279041.2668304,0.061079,0.129481,0.219735,0.002426,-0.005241,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1916055,1821459,0,0,0,0,1
21,formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,1784279049.867083,1784279053.987531,1784279054.86599,1784279054.4267604,0.056826,0.125097,0.212559,0.002545,-0.005291,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1855249,1769461,0,0,0,0,1
22,formal,down,69,11,0,22,4.600814381317985,4.731367857519084,1784279144.8286662,1784279148.944159,1784279149.818471,1784279149.381315,0.613713,-0.320566,-0.542695,0.000284,0.000816,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4439149,4525785,0,0,0,0,1
23,formal,up,69,11,1,23,4.600814381317985,4.470260905116886,1784279157.922848,1784279162.064269,1784279162.94803,1784279162.5061495,0.599633,-0.319124,-0.540714,0.000366,0.00073,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4426700,4555002,0,0,0,0,1
24,formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,1784279188.2985458,1784279192.417749,1784279193.2868018,1784279192.8522754,1.2,-0.231834,-0.393973,-0.000595,0.002468,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3257505,3401558,0,0,0,0,1
25,formal,down,56,12,1,25,2.9036191907037026,3.0341726669048015,1784279201.4504771,1784279205.593178,1784279206.460327,1784279206.0267525,1.2,-0.232072,-0.394823,-0.000702,0.002425,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3264872,3371494,0,0,0,0,1
26,formal,down,24,13,0,26,-1.2740920477314557,-1.1435385715303568,1784279256.312593,1784279260.428687,1784279261.312705,1784279260.870696,0.668873,0.321403,0.545179,-0.00229,0.002308,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4498431,4557797,0,0,0,0,1
27,formal,up,24,13,1,27,-1.2740920477314557,-1.4046455239325546,1784279269.4439082,1784279273.5603468,1784279274.436043,1784279273.998195,0.657312,0.320935,0.544673,-0.002278,0.002226,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4527732,4573548,0,0,0,0,1
28,formal,up,25,14,0,28,-1.1435385715303568,-1.2740920477314557,1784279281.1365068,1784279285.29152,1784279286.175126,1784279285.733323,0.707424,0.324069,0.550375,-0.002824,0.003069,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4535439,4605560,0,0,0,0,1
29,formal,down,25,14,1,29,-1.1435385715303568,-1.0129850953292578,1784279294.286612,1784279298.411249,1784279299.289599,1784279298.8504238,0.700409,0.32309,0.549203,-0.002649,0.003058,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4563471,4607678,0,0,0,0,1
30,formal,down,55,15,0,30,2.7730657145026036,2.9036191907037026,1784279349.128555,1784279353.2510211,1784279354.128692,1784279353.6898565,1.2,-0.203038,-0.345514,-0.000299,0.001943,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2909185,2924513,0,0,0,0,1
31,formal,up,55,15,1,31,2.7730657145026036,2.6425122383015047,1784279362.253144,1784279366.3445098,1784279367.220026,1784279366.782268,1.2,-0.205938,-0.350888,-0.000168,0.001934,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2953138,3038757,0,0,0,0,1
32,formal,up,64,16,0,32,3.948047000312492,3.817493524111393,1784279383.979143,1784279388.09993,1784279388.971904,1784279388.535917,0.87504,-0.319564,-0.54138,-0.00137,0.004411,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4400532,4600140,0,0,0,0,1
33,formal,down,64,16,1,33,3.948047000312492,4.078600476513591,1784279397.1061382,1784279401.216424,1784279402.098897,1784279401.6576605,0.863578,-0.319827,-0.542635,-0.001549,0.004398,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4443892,4583288,0,0,0,0,1
34,formal,down,16,17,0,34,-2.3185198573402452,-2.1879663811391463,1784279474.7588632,1784279478.874516,1784279479.734499,1784279479.3045075,0.254628,0.244375,0.413841,0.002665,-0.005817,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3480995,3414261,0,0,0,0,1
35,formal,up,16,17,1,35,-2.3185198573402452,-2.449073333541344,1784279487.8451462,1784279491.955185,1784279492.830189,1784279492.3926868,0.244476,0.240426,0.407785,0.002608,-0.00594,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3453387,3351593,0,0,0,0,1
36,formal,up,35,18,0,36,0.16199619048062974,0.031442714279530826,1784279523.862342,1784279528.006578,1784279528.880844,1784279528.443711,1.2,0.24666,0.419379,-0.002641,0.0033,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3559331,3649269,0,0,0,0,1
37,formal,down,35,18,1,37,0.16199619048062974,0.29254966668172866,1784279537.0007522,1784279541.123137,1784279541.990336,1784279541.5567365,1.2,0.24502,0.417058,-0.002545,0.003381,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3470494,3638006,0,0,0,0,1
38,formal,down,45,19,0,38,1.4675309524916171,1.598084428692716,1784279564.452173,1784279568.56685,1784279569.4407492,1784279569.0037994,1.2,0.028649,0.049132,-0.003031,0.005508,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-434786,586292,0,0,0,0,1
39,formal,up,45,19,1,39,1.4675309524916171,1.3369774762905182,1784279577.553965,1784279581.673153,1784279582.544081,1784279582.1086168,1.2,0.026162,0.044832,-0.003093,0.005543,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-500757,649977,0,0,0,0,1
40,formal,up,58,20,0,40,3.1647261431059004,3.0341726669048015,1784279604.96143,1784279609.114342,1784279609.988564,1784279609.551453,1.193615,-0.258774,-0.439563,-0.002897,0.006593,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3606671,3812801,0,0,0,0,1
41,formal,down,58,20,1,41,3.1647261431059004,3.2952796193069993,1784279618.109545,1784279622.2273438,1784279623.0986009,1784279622.6629725,1.185104,-0.26131,-0.44426,-0.003022,0.006527,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3690766,3820253,0,0,0,0,1
42,formal,down,22,21,0,42,-1.535199000133653,-1.4046455239325542,1784279679.930601,1784279684.047507,1784279684.924315,1784279684.485911,0.558397,0.312519,0.529837,0.001821,-0.004682,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4447872,4371315,0,0,0,0,1
43,formal,up,22,21,1,43,-1.535199000133653,-1.665752476334752,1784279693.041718,1784279697.1833,1784279698.056384,1784279697.619842,0.547141,0.311008,0.527683,0.001918,-0.004733,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4423652,4351244,0,0,0,0,1
44,formal,up,39,22,0,44,0.6842100952850245,0.5536566190839256,1784279726.2470772,1784279730.378557,1784279731.253221,1784279730.815889,1.2,0.169488,0.288732,-0.001906,0.003076,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2419183,2501923,0,0,0,0,1
45,formal,down,39,22,1,45,0.6842100952850245,0.8147635714861234,1784279739.3691661,1784279743.479521,1784279744.356886,1784279743.9182034,1.2,0.167514,0.285785,-0.001898,0.003083,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2429430,2424434,0,0,0,0,1
46,formal,down,41,23,0,46,0.9453170476872224,1.0758705238883213,1784279755.316992,1784279759.4639602,1784279760.341391,1784279759.9026756,1.2,0.12136,0.207098,-0.003101,0.00501,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1788939,1869561,0,0,0,0,1
47,formal,up,41,23,1,47,0.9453170476872224,0.8147635714861234,1784279768.495429,1784279772.59569,1784279773.452341,1784279773.0240154,1.2,0.120447,0.205814,-0.003123,0.004974,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1731944,1859145,0,0,0,0,1
48,formal,up,79,24,0,48,5.906349143328972,5.775795667127873,1784279831.792377,1784279835.896283,1784279836.770241,1784279836.333262,0.113289,-0.172386,-0.291742,0.004295,-0.00674,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2507258,2439762,0,0,0,0,1
49,formal,down,79,24,1,49,5.906349143328972,6.036902619530071,1784279844.881728,1784279849.0144372,1784279849.8750951,1784279849.444766,0.104741,-0.166386,-0.281841,0.004233,-0.006748,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2459579,2345928,0,0,0,0,1
50,formal,down,1,25,0,50,-4.276822000356725,-4.1462685241556265,1784279965.679714,1784279969.832574,1784279970.6949089,1784279970.2637415,0.032135,-0.096464,-0.163938,0.003744,-0.006433,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1490754,1357117,0,0,0,0,1
51,formal,up,1,25,1,51,-4.276822000356725,-4.407375476557824,1784279978.827069,1784279982.93258,1784279983.807955,1784279983.3702674,0.037919,-0.104106,-0.177157,0.003839,-0.006491,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1591532,1453661,0,0,0,0,1
52,sentinel,up,20,26,0,52,-1.7963059525358505,-1.9268594287369494,1784280014.896404,1784280019.017076,1784280019.88865,1784280019.452863,0.405916,0.290139,0.491672,0.000921,-0.002991,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4129532,4013425,0,0,0,0,1
53,sentinel,down,20,26,1,53,-1.7963059525358505,-1.6657524763347515,1784280028.010682,1784280032.141769,1784280033.016182,1784280032.5789754,0.407068,0.290252,0.492489,0.000942,-0.002956,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4106497,4021386,0,0,0,0,1
54,sentinel,down,60,27,0,54,3.4258330955080973,3.5563865717091963,1784280684.0248718,1784280688.085566,1784280688.9518101,1784280688.5186882,1.108704,-0.28045,-0.476309,8.9e-05,0.001878,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4022233,4066609,0,0,0,0,1
55,sentinel,up,60,27,1,55,3.4258330955080973,3.2952796193069984,1784280696.995945,1784280701.0736482,1784280701.9339972,1784280701.5038228,1.098419,-0.282348,-0.479929,0.000324,0.001654,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4036460,4061613,0,0,0,0,1
56,formal,up,73,28,0,56,5.123028286122381,4.992474809921282,1784280724.197242,1784280728.2815921,1784280729.145477,1784280728.7135346,0.371039,-0.280536,-0.474386,0.004251,-0.005898,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3971928,3961173,0,0,0,0,1
57,formal,down,73,28,1,57,5.123028286122381,5.2535817623234795,1784280737.182643,1784280741.254718,1784280742.1201842,1784280741.6874511,0.35866,-0.277066,-0.469119,0.00419,-0.006,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3954144,3871404,0,0,0,0,1
